cluster_final,tag,count,share_of_cluster,cluster_size
16,sex_gender,3,0.02158273381294964,139
16,religion_holidays,2,0.014388489208633094,139
16,everyday_life,2,0.014388489208633094,139
16,family_relationships,2,0.014388489208633094,139
16,work_professions,1,0.007194244604316547,139
16,cities_places,1,0.007194244604316547,139
16,soviet_history_politics,1,0.007194244604316547,139
16,it_internet,1,0.007194244604316547,139
16,army_police,1,0.007194244604316547,139
16,education_children,1,0.007194244604316547,139
16,covid_pandemic,1,0.007194244604316547,139
17,media_popculture,80,0.5797101449275363,138
17,literature_folklore_characters,35,0.2536231884057971,138
17,politics_power,6,0.043478260869565216,138
17,sex_gender,5,0.036231884057971016,138
17,transport,4,0.028985507246376812,138
17,work_professions,4,0.028985507246376812,138
17,education_children,3,0.021739130434782608,138
17,soviet_history_politics,3,0.021739130434782608,138
17,it_internet,3,0.021739130434782608,138
17,textual_forms,2,0.014492753623188406,138
17,covid_pandemic,2,0.014492753623188406,138
17,alcohol_smoking_drugs,1,0.007246376811594203,138
17,law_crime,1,0.007246376811594203,138
17,everyday_life,1,0.007246376811594203,138
17,finance_economy,1,0.007246376811594203,138
17,family_relationships,1,0.007246376811594203,138
17,science_space,1,0.007246376811594203,138
17,army_police,1,0.007246376811594203,138
17,consumer_services,1,0.007246376811594203,138
18,transport,77,0.6416666666666667,120
18,science_space,13,0.10833333333333334,120
18,army_police,10,0.08333333333333333,120
18,literature_folklore_characters,5,0.041666666666666664,120
18,textual_forms,5,0.041666666666666664,120
18,education_children,4,0.03333333333333333,120
18,politics_power,3,0.025,120
18,soviet_history_politics,2,0.016666666666666666,120
18,work_professions,2,0.016666666666666666,120
18,media_popculture,2,0.016666666666666666,120
18,covid_pandemic,2,0.016666666666666666,120
18,it_internet,1,0.008333333333333333,120
18,sex_gender,1,0.008333333333333333,120
19,literature_folklore_characters,76,0.672566371681416,113
19,politics_power,11,0.09734513274336283,113
19,work_professions,9,0.07964601769911504,113
19,cities_places,8,0.07079646017699115,113
19,media_popculture,7,0.061946902654867256,113
19,finance_economy,5,0.04424778761061947,113
19,sex_gender,3,0.02654867256637168,113
19,sport,2,0.017699115044247787,113
19,family_relationships,2,0.017699115044247787,113
19,everyday_life,2,0.017699115044247787,113
19,health_medicine,2,0.017699115044247787,113
19,religion_holidays,2,0.017699115044247787,113
19,soviet_history_politics,1,0.008849557522123894,113
19,alcohol_smoking_drugs,1,0.008849557522123894,113
19,textual_forms,1,0.008849557522123894,113
19,army_police,1,0.008849557522123894,113
19,absurd_philosophy,1,0.008849557522123894,113
19,animals,1,0.008849557522123894,113
