feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
dense_bge_pca,leiden,cosine,k=10;resolution=2.5;seed=42,10.0,2.5,42.0,5509.0,42.0,0.06934107823561445,0.0,0.24558598860934508,0.3766441511369447,0.396106471649034,0.24558598860934508,0.3766441511369447,0.396106471649034,0.24558598860934508,0.3766441511369447,0.396106471649034,0.2700871609905687,0.4428249655178232,0.19429592492037318,0.1520486769205647,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=30;resolution=2.0;seed=1,30.0,2.0,1.0,5509.0,35.0,0.07642040297694681,0.0,0.2406841186301558,0.3761657794969566,0.39279897316433915,0.2406841186301558,0.3761657794969566,0.39279897316433915,0.2406841186301558,0.3761657794969566,0.39279897316433915,0.28121215724158427,0.3932387743802986,0.21886225716363797,0.15188056622783971,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=20;resolution=2.0;seed=7,20.0,2.0,7.0,5509.0,36.0,0.0677073879106916,0.0,0.244198479944138,0.37150105647854725,0.3886869749432779,0.244198479944138,0.37150105647854725,0.3886869749432779,0.244198479944138,0.37150105647854725,0.3886869749432779,0.28504312582012525,0.4019770190070769,0.22081013004943248,0.15174012417879537,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=15;resolution=2.5;seed=1,15.0,2.5,1.0,5509.0,40.0,0.05899437284443638,0.0,0.2404618952106824,0.380741031858512,0.39922662204362863,0.2404618952106824,0.380741031858512,0.39922662204362863,0.2404618952106824,0.380741031858512,0.39922662204362863,0.26643828237503514,0.4282090423842552,0.19338167389369149,0.15138108692082133,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=15;resolution=0.5;seed=42,15.0,0.5,42.0,5509.0,7.0,0.32982392448720277,0.0,0.07750207248614556,0.1959111783036332,0.20120136809672742,0.07750207248614556,0.1959111783036332,0.20120136809672742,0.07750207248614556,0.1959111783036332,0.20120136809672742,0.19163716394518115,0.12149202049255826,0.45343334573309424,0.15106063221978838,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=30;resolution=2.5;seed=7,30.0,2.5,7.0,5509.0,33.0,0.06825195135233254,0.0,0.24385385988919714,0.3731971933135037,0.38887558394323773,0.24385385988919714,0.3731971933135037,0.38887558394323773,0.24385385988919714,0.3731971933135037,0.38887558394323773,0.28020514873403796,0.4020324099143128,0.21504146517055223,0.1510555223620769,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=20;resolution=0.5;seed=7,20.0,0.5,7.0,5509.0,6.0,0.3000544563441641,0.0,0.08047969475966109,0.1920004326682633,0.19640284537674257,0.08047969475966109,0.1920004326682633,0.19640284537674257,0.08047969475966109,0.1920004326682633,0.19640284537674257,0.19445097456799265,0.12378590341021412,0.4531233517108894,0.15053490121933516,,
dense_bge_pca,leiden,cosine,k=30;resolution=0.65;seed=42,30.0,0.65,42.0,5509.0,6.0,0.3185696133599564,0.0,0.07986716316020993,0.1920355097802376,0.1964445429923368,0.07986716316020993,0.1920355097802376,0.1964445429923368,0.07986716316020993,0.1920355097802376,0.1964445429923368,0.1952167427004963,0.12400224198415598,0.4585783211464042,0.15052173519229395,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=20;resolution=0.5;seed=42,20.0,0.5,42.0,5509.0,6.0,0.3595933926302414,0.0,0.07712233525332164,0.19420974925544218,0.1986198110296588,0.07712233525332164,0.19420974925544218,0.1986198110296588,0.07712233525332164,0.19420974925544218,0.1986198110296588,0.19292181559876878,0.12192537326923045,0.4618605563606147,0.15021796630425338,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=30;resolution=0.5;seed=1,30.0,0.5,1.0,5509.0,6.0,0.37193683064076966,0.0,0.0758814925540931,0.19558473401071497,0.20000174803635645,0.0758814925540931,0.19558473401071497,0.20000174803635645,0.0758814925540931,0.19558473401071497,0.20000174803635645,0.1914861515085243,0.1205636465262668,0.4650632110198711,0.1501790618791649,,
