year,month,archive_url,candidate_count_total_month,candidate_count_tagged_month,selected_count
2013,3,https://www.anekdot.ru/an/an1303/j1303;100.html,100,50,30
2013,4,https://www.anekdot.ru/an/an1304/j1304;100.html,100,47,30
2013,5,https://www.anekdot.ru/an/an1305/j1305;100.html,100,37,30
2013,6,https://www.anekdot.ru/an/an1306/j1306;100.html,100,49,30
2013,7,https://www.anekdot.ru/an/an1307/j1307;100.html,28,16,16
2013,8,https://www.anekdot.ru/an/an1308/j1308;100.html,70,32,30
2013,9,https://www.anekdot.ru/an/an1309/j1309;100.html,100,49,30
2013,10,https://www.anekdot.ru/an/an1310/j1310;100.html,100,54,30
2013,11,https://www.anekdot.ru/an/an1311/j1311;100.html,100,49,30
2013,12,https://www.anekdot.ru/an/an1312/j1312;100.html,100,60,30
2014,1,https://www.anekdot.ru/an/an1401/j1401;100.html,100,55,30
2014,2,https://www.anekdot.ru/an/an1402/j1402;100.html,39,19,19
2014,3,https://www.anekdot.ru/an/an1403/j1403;100.html,67,19,19
2014,4,https://www.anekdot.ru/an/an1404/j1404;100.html,100,48,30
2014,5,https://www.anekdot.ru/an/an1405/j1405;100.html,44,21,21
2014,6,https://www.anekdot.ru/an/an1406/j1406;100.html,100,27,27
2014,7,https://www.anekdot.ru/an/an1407/j1407;100.html,100,37,30
2014,8,https://www.anekdot.ru/an/an1408/j1408;100.html,100,28,28
2014,9,https://www.anekdot.ru/an/an1409/j1409;100.html,100,45,30
2014,10,https://www.anekdot.ru/an/an1410/j1410;100.html,100,30,30
2014,11,https://www.anekdot.ru/an/an1411/j1411;100.html,100,18,18
2014,12,https://www.anekdot.ru/an/an1412/j1412;100.html,100,26,26
2015,1,https://www.anekdot.ru/an/an1501/j1501;100.html,100,25,25
2015,2,https://www.anekdot.ru/an/an1502/j1502;100.html,100,20,20
2015,3,https://www.anekdot.ru/an/an1503/j1503;100.html,100,33,30
2015,4,https://www.anekdot.ru/an/an1504/j1504;100.html,100,24,24
