feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,agglomerative,cosine,n_clusters=15;linkage=average,,,,5509.0,15.0,0.3033218369940098,0.0,0.10950312448888386,0.21778675122356794,0.22805896967952952,0.10950312448888386,0.21778675122356794,0.22805896967952952,0.10950312448888386,0.21778675122356794,0.22805896967952952,0.20339939906033358,0.15055755801857518,0.3133919268303065,0.17410290982332785,,
hybrid_dense_lexical_dw1.25_lw1.0,agglomerative,cosine,n_clusters=15;linkage=average,,,,5509.0,15.0,0.31984026139045196,0.0,0.1207524429957122,0.20388132562079758,0.21426458244985067,0.1207524429957122,0.20388132562079758,0.21426458244985067,0.1207524429957122,0.20388132562079758,0.21426458244985067,0.21673925051219473,0.15421169857554987,0.36455297011287485,0.17391599373777478,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=10,,,,5509.0,10.0,0.1430386640043565,0.0,0.12530742563179403,0.19993886280925308,0.20654001915402062,0.12530742563179403,0.19993886280925308,0.20654001915402062,0.12530742563179403,0.19993886280925308,0.20654001915402062,0.21152839795859368,0.17495217801883822,0.2674406338313596,0.17152068463161274,10.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=8,,,,5509.0,8.0,0.2323470684334725,0.0,0.11495579443964983,0.20298552118466914,0.2083634373441081,0.11495579443964983,0.20298552118466914,0.2083634373441081,0.11495579443964983,0.20298552118466914,0.2083634373441081,0.2117177983252923,0.15657721947296413,0.32680680247180904,0.16951826156991426,8.0,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=12,,,,5509.0,12.0,0.10419313850063533,0.0,0.1198388228645838,0.203453493952847,0.2112106290378767,0.1198388228645838,0.203453493952847,0.2112106290378767,0.1198388228645838,0.203453493952847,0.2112106290378767,0.19574270768428223,0.17711368460327603,0.21875121452881835,0.16859354444627017,12.0,
dense_bge_pca,kmeans,,n_clusters=8,,,,5509.0,8.0,0.19549827554910146,0.0,0.11693802266156686,0.19840658332387762,0.2038029790536267,0.11693802266156686,0.19840658332387762,0.2038029790536267,0.11693802266156686,0.19840658332387762,0.2038029790536267,0.2138065869786368,0.1596369840940898,0.32362080420777556,0.16847478562237964,8.0,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,agglomerative,cosine,n_clusters=12;linkage=average,,,,5509.0,12.0,0.3033218369940098,0.0,0.10611034840001944,0.20918025702181517,0.2174654535866544,0.10611034840001944,0.20918025702181517,0.2174654535866544,0.10611034840001944,0.20918025702181517,0.2174654535866544,0.2015084370826786,0.14703388335644874,0.32010352874986353,0.1683372067375682,,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=8,,,,5509.0,8.0,0.19858413505173353,0.0,0.10876574762433765,0.2065318330203766,0.21190574140818882,0.10876574762433765,0.2065318330203766,0.21190574140818882,0.10876574762433765,0.2065318330203766,0.21190574140818882,0.20666730006626718,0.15283618823606598,0.3190365941003048,0.16824598625667728,8.0,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=8,,,,5509.0,8.0,0.1866037393356326,0.0,0.11456705692249326,0.20009140794054053,0.20548810193230654,0.11456705692249326,0.20009140794054053,0.20548810193230654,0.11456705692249326,0.20009140794054053,0.20548810193230654,0.21123376558213705,0.15731397163233,0.3213916233137713,0.16800717726436012,8.0,
hybrid_dense_lexical_dw1.25_lw1.0,agglomerative,cosine,n_clusters=12;linkage=average,,,,5509.0,12.0,0.31984026139045196,0.0,0.11768755071439148,0.19449338597543686,0.20309147736822175,0.11768755071439148,0.19449338597543686,0.20309147736822175,0.11768755071439148,0.19449338597543686,0.20309147736822175,0.21463326028965732,0.15159909688894047,0.3673938108536773,0.16790446380939172,,
hybrid_dense_lexical_dw1.25_lw1.0,agglomerative,cosine,n_clusters=10;linkage=average,,,,5509.0,10.0,0.31984026139045196,0.0,0.10873306654318876,0.18758691165251679,0.1949386323050605,0.10873306654318876,0.18758691165251679,0.1949386323050605,0.10873306654318876,0.18758691165251679,0.1949386323050605,0.21024060921067347,0.1431447651569899,0.3957300405490688,0.1609200822118598,,
