cluster_final,year,size,cluster_size,share_of_cluster
12,2000,4,198,0.020202020202020204
12,2001,7,198,0.03535353535353535
12,2002,6,198,0.030303030303030304
12,2003,7,198,0.03535353535353535
12,2004,9,198,0.045454545454545456
12,2005,11,198,0.05555555555555555
12,2006,16,198,0.08080808080808081
12,2007,15,198,0.07575757575757576
12,2008,7,198,0.03535353535353535
12,2009,11,198,0.05555555555555555
12,2010,10,198,0.050505050505050504
12,2011,9,198,0.045454545454545456
12,2012,6,198,0.030303030303030304
12,2013,6,198,0.030303030303030304
12,2014,6,198,0.030303030303030304
12,2015,3,198,0.015151515151515152
12,2016,5,198,0.025252525252525252
12,2017,9,198,0.045454545454545456
12,2018,4,198,0.020202020202020204
12,2019,2,198,0.010101010101010102
12,2020,12,198,0.06060606060606061
12,2021,4,198,0.020202020202020204
12,2022,3,198,0.015151515151515152
12,2023,3,198,0.015151515151515152
12,2024,4,198,0.020202020202020204
12,2025,4,198,0.020202020202020204
12,2026,3,198,0.015151515151515152
13,1997,1,198,0.005050505050505051
13,1998,1,198,0.005050505050505051
13,1999,2,198,0.010101010101010102
13,2000,1,198,0.005050505050505051
13,2001,2,198,0.010101010101010102
13,2002,2,198,0.010101010101010102
13,2003,2,198,0.010101010101010102
13,2004,3,198,0.015151515151515152
13,2005,2,198,0.010101010101010102
13,2006,4,198,0.020202020202020204
13,2007,4,198,0.020202020202020204
13,2008,4,198,0.020202020202020204
13,2009,7,198,0.03535353535353535
13,2010,10,198,0.050505050505050504
13,2011,15,198,0.07575757575757576
13,2012,12,198,0.06060606060606061
13,2013,19,198,0.09595959595959595
13,2014,11,198,0.05555555555555555
13,2015,15,198,0.07575757575757576
13,2016,7,198,0.03535353535353535
13,2017,12,198,0.06060606060606061
13,2018,7,198,0.03535353535353535
13,2019,18,198,0.09090909090909091
13,2020,18,198,0.09090909090909091
13,2021,3,198,0.015151515151515152
13,2022,7,198,0.03535353535353535
13,2023,1,198,0.005050505050505051
13,2024,2,198,0.010101010101010102
13,2025,5,198,0.025252525252525252
13,2026,1,198,0.005050505050505051
14,1997,1,173,0.005780346820809248
14,2000,2,173,0.011560693641618497
14,2001,2,173,0.011560693641618497
14,2002,8,173,0.046242774566473986
14,2003,1,173,0.005780346820809248
14,2004,2,173,0.011560693641618497
14,2006,1,173,0.005780346820809248
14,2007,1,173,0.005780346820809248
14,2008,5,173,0.028901734104046242
14,2009,5,173,0.028901734104046242
14,2010,6,173,0.03468208092485549
14,2011,14,173,0.08092485549132948
14,2012,17,173,0.09826589595375723
14,2013,20,173,0.11560693641618497
14,2014,12,173,0.06936416184971098
14,2015,8,173,0.046242774566473986
14,2016,9,173,0.05202312138728324
14,2017,7,173,0.04046242774566474
14,2018,9,173,0.05202312138728324
14,2019,8,173,0.046242774566473986
14,2020,6,173,0.03468208092485549
14,2021,5,173,0.028901734104046242
14,2022,7,173,0.04046242774566474
14,2023,4,173,0.023121387283236993
14,2024,6,173,0.03468208092485549
14,2025,7,173,0.04046242774566474
15,1996,7,165,0.04242424242424243
15,1997,8,165,0.048484848484848485
15,1998,13,165,0.07878787878787878
15,1999,10,165,0.06060606060606061
15,2000,12,165,0.07272727272727272
15,2001,8,165,0.048484848484848485
15,2002,7,165,0.04242424242424243
15,2003,7,165,0.04242424242424243
15,2004,8,165,0.048484848484848485
15,2005,2,165,0.012121212121212121
15,2006,10,165,0.06060606060606061
15,2007,5,165,0.030303030303030304
15,2008,10,165,0.06060606060606061
15,2009,8,165,0.048484848484848485
15,2010,4,165,0.024242424242424242
15,2011,5,165,0.030303030303030304
15,2012,5,165,0.030303030303030304
15,2013,7,165,0.04242424242424243
15,2014,7,165,0.04242424242424243
15,2015,7,165,0.04242424242424243
15,2016,4,165,0.024242424242424242
15,2017,3,165,0.01818181818181818
15,2018,2,165,0.012121212121212121
15,2019,1,165,0.006060606060606061
15,2020,2,165,0.012121212121212121
15,2022,2,165,0.012121212121212121
15,2024,1,165,0.006060606060606061
16,1998,2,139,0.014388489208633094
16,1999,6,139,0.04316546762589928
16,2000,3,139,0.02158273381294964
16,2002,1,139,0.007194244604316547
16,2003,2,139,0.014388489208633094
16,2004,7,139,0.050359712230215826
16,2005,6,139,0.04316546762589928
16,2006,5,139,0.03597122302158273
16,2007,8,139,0.05755395683453238
16,2008,10,139,0.07194244604316546
16,2009,3,139,0.02158273381294964
16,2010,13,139,0.09352517985611511
16,2011,8,139,0.05755395683453238
16,2012,4,139,0.02877697841726619
16,2013,5,139,0.03597122302158273
16,2014,13,139,0.09352517985611511
16,2015,3,139,0.02158273381294964
16,2016,6,139,0.04316546762589928
16,2017,4,139,0.02877697841726619
16,2018,16,139,0.11510791366906475
16,2020,3,139,0.02158273381294964
16,2021,3,139,0.02158273381294964
16,2022,2,139,0.014388489208633094
16,2023,2,139,0.014388489208633094
16,2024,1,139,0.007194244604316547
16,2025,3,139,0.02158273381294964
17,1997,2,138,0.014492753623188406
17,1998,1,138,0.007246376811594203
17,2000,4,138,0.028985507246376812
17,2001,4,138,0.028985507246376812
17,2002,5,138,0.036231884057971016
17,2003,7,138,0.050724637681159424
17,2004,10,138,0.07246376811594203
17,2005,3,138,0.021739130434782608
17,2006,5,138,0.036231884057971016
17,2007,7,138,0.050724637681159424
17,2008,10,138,0.07246376811594203
17,2009,11,138,0.07971014492753623
17,2010,11,138,0.07971014492753623
17,2011,9,138,0.06521739130434782
17,2012,5,138,0.036231884057971016
17,2013,4,138,0.028985507246376812
17,2014,5,138,0.036231884057971016
17,2015,7,138,0.050724637681159424
17,2016,1,138,0.007246376811594203
17,2017,6,138,0.043478260869565216
17,2018,5,138,0.036231884057971016
17,2019,5,138,0.036231884057971016
17,2020,3,138,0.021739130434782608
17,2021,2,138,0.014492753623188406
17,2022,1,138,0.007246376811594203
17,2023,5,138,0.036231884057971016
18,1996,7,120,0.058333333333333334
18,1997,4,120,0.03333333333333333
18,1998,6,120,0.05
18,1999,11,120,0.09166666666666666
18,2000,6,120,0.05
18,2001,6,120,0.05
18,2002,11,120,0.09166666666666666
18,2003,11,120,0.09166666666666666
18,2004,2,120,0.016666666666666666
18,2005,3,120,0.025
18,2006,8,120,0.06666666666666667
18,2007,4,120,0.03333333333333333
18,2008,9,120,0.075
18,2009,1,120,0.008333333333333333
18,2010,4,120,0.03333333333333333
18,2011,4,120,0.03333333333333333
18,2012,1,120,0.008333333333333333
18,2013,3,120,0.025
18,2014,1,120,0.008333333333333333
18,2015,3,120,0.025
18,2016,1,120,0.008333333333333333
18,2017,3,120,0.025
18,2018,1,120,0.008333333333333333
18,2019,1,120,0.008333333333333333
18,2020,4,120,0.03333333333333333
18,2022,1,120,0.008333333333333333
18,2023,1,120,0.008333333333333333
18,2024,1,120,0.008333333333333333
18,2025,2,120,0.016666666666666666
19,1996,1,113,0.008849557522123894
19,1997,4,113,0.035398230088495575
19,1998,5,113,0.04424778761061947
19,1999,6,113,0.05309734513274336
19,2000,4,113,0.035398230088495575
19,2001,4,113,0.035398230088495575
19,2002,3,113,0.02654867256637168
19,2003,3,113,0.02654867256637168
19,2004,2,113,0.017699115044247787
19,2005,1,113,0.008849557522123894
19,2006,3,113,0.02654867256637168
19,2007,3,113,0.02654867256637168
19,2008,5,113,0.04424778761061947
19,2009,6,113,0.05309734513274336
19,2010,2,113,0.017699115044247787
19,2011,17,113,0.1504424778761062
19,2012,10,113,0.08849557522123894
19,2014,3,113,0.02654867256637168
19,2016,2,113,0.017699115044247787
19,2017,3,113,0.02654867256637168
19,2018,6,113,0.05309734513274336
19,2020,5,113,0.04424778761061947
19,2021,5,113,0.04424778761061947
19,2022,8,113,0.07079646017699115
19,2025,2,113,0.017699115044247787
