feature_set,method,params,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score
hybrid_dense_lexical_dw0.75_lw1.25,minibatch_kmeans_ablation,dense=0.75;lexical=1.25,5509,12,0.1887819931021964,0.0,0.09161923677303498,0.17774803530953479,0.1859489426552696,0.09161923677303498,0.17774803530953479,0.1859489426552696,0.09161923677303498,0.17774803530953479,0.1859489426552696,0.17657814053527962,0.14661113872022877,0.2219427649245928,0.14483824186469077
hybrid_dense_lexical_structural_dw0.75_lw1.0_sw0.1,minibatch_kmeans_ablation,dense=0.75;lexical=1.0;structural=0.1,5509,12,0.20185151570157922,0.0,0.08139951889107465,0.1862995876097603,0.19455276351437767,0.08139951889107465,0.1862995876097603,0.19455276351437767,0.08139951889107465,0.1862995876097603,0.19455276351437767,0.17017553068057503,0.13574308162345655,0.2280130956280664,0.14435307020398389
hybrid_dense_lexical_dw1.0_lw1.25,minibatch_kmeans_ablation,dense=1.0;lexical=1.25,5509,12,0.2063895443819205,0.0,0.09291934779774064,0.17440064525013232,0.1826397668036478,0.09291934779774064,0.17440064525013232,0.1826397668036478,0.09291934779774064,0.17440064525013232,0.1826397668036478,0.1765361383423472,0.14530129673830378,0.22487706654970177,0.14372310275873004
hybrid_dense_lexical_dw0.5_lw0.75,minibatch_kmeans_ablation,dense=0.5;lexical=0.75,5509,12,0.1423125794155019,0.0,0.07705284465048608,0.17421989432127008,0.182398163572157,0.07705284465048608,0.17421989432127008,0.182398163572157,0.07705284465048608,0.17421989432127008,0.182398163572157,0.15916625732011722,0.1362769204400878,0.19129684842495276,0.13539262461646254
hybrid_dense_lexical_structural_dw1.0_lw1.0_sw0.25,minibatch_kmeans_ablation,dense=1.0;lexical=1.0;structural=0.25,5509,12,0.12779088763840987,0.0,0.09013921721139598,0.16103347412326072,0.16921477567444945,0.09013921721139598,0.16103347412326072,0.16921477567444945,0.09013921721139598,0.16103347412326072,0.16921477567444945,0.16864561677665998,0.15151664862537126,0.19014107966753835,0.1352812772620153
hybrid_dense_lexical_structural_dw0.75_lw0.5_sw0.25,minibatch_kmeans_ablation,dense=0.75;lexical=0.5;structural=0.25,5509,12,0.1170811399528045,0.0,0.08339678101162011,0.15948871206527168,0.1677291198325316,0.08339678101162011,0.15948871206527168,0.1677291198325316,0.08339678101162011,0.15948871206527168,0.1677291198325316,0.1633326558660949,0.14452178260624937,0.18777309548000956,0.13151558784789227
hybrid_dense_lexical_structural_dw1.25_lw1.0_sw0.5,minibatch_kmeans_ablation,dense=1.25;lexical=1.0;structural=0.5,5509,12,0.1314213105826829,0.0,0.08269452879083593,0.15962362643740688,0.16783691083526678,0.08269452879083593,0.15962362643740688,0.16783691083526678,0.08269452879083593,0.15962362643740688,0.16783691083526678,0.16270153043003982,0.14489569042659153,0.18549672146620694,0.13123261771955683
hybrid_dense_lexical_structural_dw0.75_lw0.75_sw0.25,minibatch_kmeans_ablation,dense=0.75;lexical=0.75;structural=0.25,5509,12,0.12833545108005082,0.0,0.0752153657212304,0.15986313740703192,0.16810651791320938,0.0752153657212304,0.15986313740703192,0.16810651791320938,0.0752153657212304,0.15986313740703192,0.16810651791320938,0.1550697529452156,0.1367289744055285,0.17909326285827443,0.127577817265121
hybrid_dense_lexical_structural_dw0.75_lw1.25_sw0.1,minibatch_kmeans_ablation,dense=0.75;lexical=1.25;structural=0.1,5509,12,0.15756035578144853,0.0,0.06652122644782954,0.16363448799778813,0.17197155684366375,0.06652122644782954,0.16363448799778813,0.17197155684366375,0.06652122644782954,0.16363448799778813,0.17197155684366375,0.15005542060352497,0.1254264912196732,0.1867200411598033,0.1256872388655274
hybrid_dense_lexical_structural_dw0.75_lw1.0_sw0.25,minibatch_kmeans_ablation,dense=0.75;lexical=1.0;structural=0.25,5509,12,0.15556362316209837,0.0,0.07471213450029261,0.15308370057136747,0.16154799397467776,0.07471213450029261,0.15308370057136747,0.16154799397467776,0.07471213450029261,0.15308370057136747,0.16154799397467776,0.1610738002407536,0.13576147594657842,0.19798809252812619,0.12563213900618145
